,Title,Year,Director,Writer,Actors,Genre,Language,Country,Runtime,BoxOffice
1663,Semi-Pro,2008,Kent Alterman,Scot Armstrong,"Will Ferrell, Woody Harrelson, Andre Benjamin, Maura Tierney",Comedy,English,USA,91,33370443
1665,Takers,2010,John Luessenhop,"Peter Allen, Gabriel Casseus, John Luessenhop, Avery Duff","Chris Brown, Hayden Christensen, Matt Dillon, Michael Ealy",Action,English,USA,107,57744720
1666,Carriers,2009,"David Pastor, Alex Pastor","Alex Pastor, David Pastor","Lou Taylor Pucci, Chris Pine, Piper Perabo, Emily VanCamp",Drama,English,USA,84,90820
1667,The Salt of Life,2011,Gianni Di Gregorio,"Valerio Attanasio, Gianni Di Gregorio","Gianni Di Gregorio, Valeria De Franciscis, Alfonso Santagata, Elisabetta Piccolomini",Comedy,Italian,Italy,90,200146
1668,Pixels,2015,Chris Columbus,"Tim Herlihy (screenplay), Timothy Dowling (screenplay), Tim Herlihy (screen story), Patrick Jean (short film)","Adam Sandler, Kevin James, Michelle Monaghan, Peter Dinklage",Animation,English,USA,105,66412009
1669,Ghajini,2008,A.R. Murugadoss,"Piyush Mishra (dialogue), A.R. Murugadoss (story and screenplay), Christopher Nolan (based on a screenplay by), Jonathan Nolan (adapted from the short story by)","Aamir Khan, Asin, Jiah Khan, Tinnu Anand",Action,Hindi,India,183,2411071
1670,Norman,2016,Joseph Cedar,Joseph Cedar,"Richard Gere, Lior Ashkenazi, Michael Sheen, Steve Buscemi",Drama,English,Israel,118,3814868
1671,Role Models,2008,David Wain,"Timothy Dowling (story), W. Blake Herron (story), Paul Rudd (screenplay), David Wain (screenplay), Ken Marino (screenplay), Timothy Dowling (screenplay)","Seann William Scott, Paul Rudd, Christopher Mintz-Plasse, Bobb'e J. Thompson",Comedy,English,Germany,99,67300000
1672,Sweet Virginia,2017,Jamie M. Dagg,"Paul China, Benjamin China","Jon Bernthal, Christopher Abbott, Imogen Poots, Rosemarie DeWitt",Drama,English,USA,93,5183
1673,The Divide,2011,Xavier Gens,"Karl Mueller, Eron Sheean","Lauren German, Michael Biehn, Milo Ventimiglia, Courtney B. Vance",Action,English,USA,112,18000
1674,Pirates,2014,Seok-hoon Lee,Seong-il Cheon,"Nam-gil Kim, Ye-jin Son, Hae-jin Yoo, Kyeong-yeong Lee",Action,Korean,South Korea,130,297593
1675,Buddies in India,2017,Baoqiang Wang,Baoqiang Wang,"Baoqiang Wang, Yan Liu, Bai-Ke, Vikramjeet Virk",Action,Mandarin,China,99,292662
1676,One Two Three,2008,Ashwani Dhir,Ashwani Dhir (screenplay),"Tusshar Kapoor, Sunil Shetty, Paresh Rawal, Esha Deol",Comedy,Hindi,India,135,246724
1677,The Heat,2013,Paul Feig,Katie Dippold,"Sandra Bullock, Melissa McCarthy, Demian Bichir, Marlon Wayans",Action,English,USA,117,158300000
1678,A Beautiful Planet,2016,Toni Myers,Toni Myers,Jennifer Lawrence,Documentary,English,USA,46,7437581
1679,Taken,2008,Pierre Morel,"Luc Besson, Robert Mark Kamen","Liam Neeson, Maggie Grace, Leland Orser, Jon Gries",Action,English,France,94,144924285
1680,Meet the Browns,2008,Tyler Perry,Tyler Perry (play),"Tyler Perry, David Mann, Tamela J. Mann, Angela Bassett",Comedy,English,USA,100,41939392
1681,Away We Go,2009,Sam Mendes,"Dave Eggers, Vendela Vida","John Krasinski, Maya Rudolph, Carmen Ejogo, Catherine O'Hara",Comedy,English,USA,98,9400000
1682,Man of Tai Chi,2013,Keanu Reeves,Michael G. Cooney,"Tiger Hu Chen, Keanu Reeves, Karen Mok, Hai Yu",Action,Cantonese,USA,105,61054
1683,Baaghi,2016,Sabir Khan,"Shifuji Shaurya Bharadwaj (Wrote all of his own dialogue), Sanjeev Datta","Shraddha Kapoor, Tiger Shroff, Sudheer Babu Posani, Paras Arora",Action,Hindi,India,133,436055
1684,Christmas Eve,2015,Mitch Davis,"Mitch Davis, Tyler McKellar","Patrick Stewart, Gary Cole, Roxy Cook, James Roday",Comedy,English,USA,95,81992
1685,The Vow,2012,Michael Sucsy,"Abby Kohn (screenplay), Marc Silverstein (screenplay), Jason Katims (screenplay), Stuart Sender (story)","Rachel McAdams, Channing Tatum, Jessica Lange, Sam Neill",Drama,English,USA,104,125014030
1686,Fighting,2009,Dito Montiel,"Robert Munic, Dito Montiel","Channing Tatum, Terrence Howard, Zulay Henao, Michael Rivera",Action,English,USA,105,23036320
1687,Breath,2017,Simon Baker,"Gerard Lee (adapted screenplay), Simon Baker (adapted screenplay), Tim Winton (based on the novel by), Tim Winton (novel)","Elizabeth Debicki, Simon Baker, Richard Roxburgh, Rachael Blake",Drama,English,Australia,115,475685
1689,I Belonged to You,2016,Yibai Zhang,Jiajia Zhang,"Chao Deng, Tian'Ai Zhang, Baihe Bai, Yang Yang",Drama,Chinese,China,112,744033
1690,Sing,2016,"Garth Jennings, Christophe Lourdelet(co-director)",Garth Jennings,"Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson",Animation,English,Japan,108,270322940
1691,Sidewalls,2011,Gustavo Taretto,Gustavo Taretto,"Javier Drolas, Miguel Dedovich, Pilar Lopez de Ayala, Miguel Alvarez",Comedy,Spanish,Argentina,95,1304
1692,The Attorney,2013,Woo-seok Yang,"Yoon Hyeon-ho, Woo-seok Yang","Kwang Soo Cha, Seon-Mook Cho, Ki-Jung Han, Sung-ho Hong",Drama,Korean,South Korea,127,347684
1693,Star Wars: Episode VIII - The Last Jedi,2017,Rian Johnson,"Rian Johnson, George Lucas (based on characters created by)","Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley",Action,English,USA,152,619117636
1694,Bran Nue Dae,2009,Rachel Perkins,"Jimmy Chi (stage musical), Kuckles (stage musical), Patrick Duttoo Bin Amat (stage musical), Garry Gower (stage musical), Michael Manolis Mavromatis (stage musical), Stephen Pigram (stage musical), Reg Cribb (screenplay), Rachel Perkins (screenplay), Jimmy Chi (screenplay), Adrian Russell Wills","Rocky McKenzie, Jessica Mauboy, Ernie Dingo, Missy Higgins",Comedy,English,Australia,85,100000
1695,1945,2017,Ferenc Torok,"Gabor T. Szanto, Ferenc Torok","Peter Rudolf, Bence Tasnadi, Tamas Szabo Kimmel, Dora Sztarenki",Drama,Hungarian,Hungary,91,258392
1696,Hide Away,2011,Chris Eyre,Peter Vanderwall,"Josh Lucas, Ayelet Zurer, James Cromwell, Jon Tenney",Drama,English,USA,88,29604
1698,Think Like a Man,2012,Tim Story,"Keith Merryman (screenplay), David A. Newman (screenplay), Steve Harvey (book)","Michael Ealy, Jerry Ferrara, Meagan Good, Regina Hall",Comedy,English,USA,122,91547205
1699,Valley of Bones,2017,Dan Glaser,"Dan Glaser, Steven Molony, Richard M. Lewis, Jon Wanzek (story by)","Autumn Reeser, Rhys Coiro, Steven Molony, Mason Mahay",Crime,English,USA,90,168387
1700,Whip It,2009,Drew Barrymore,"Shauna Cross (screenplay), Shauna Cross (novel)","Sarah Habel, Shannon Eagen, Edward Austin Kelly, Mary Callaghan Lynch",Drama,English,USA,111,13000000
1701,Wendy and Lucy,2008,Kelly Reichardt,"Jonathan Raymond (screenplay by), Kelly Reichardt (screenplay by), Jonathan Raymond (story by)","Michelle Williams, Lucy, David Koppell, Max Clement",Drama,English,USA,80,700720
1702,The Family Tree,2011,Vivi Friedman,Mark Lisson,"Rachael Leigh Cook, Hope Davis, Dermot Mulroney, Max Thieriot",Comedy,English,Australia,87,3658
1703,The Extra Man,2010,"Shari Springer Berman, Robert Pulcini","Robert Pulcini (screenplay), Jonathan Ames (screenplay), Shari Springer Berman (screenplay), Jonathan Ames (novel)","Paul Dano, Marian Seldes, Celia Weston, Patti D'Arbanville",Comedy,English,France,108,453079
1704,Moonlight,2016,Barry Jenkins,"Barry Jenkins (screenplay by), Tarell Alvin McCraney (story by)","Mahershala Ali, Shariff Earp, Duan Sanderson, Alex R. Hibbert",Drama,English,USA,111,27850910
1705,The Freebie,2010,Katie Aselton,Katie Aselton,"Katie Aselton, Dax Shepard, Maggie Phillips, Joshua Leonard",Comedy,English,USA,78,4500
1706,Bangkok Dangerous,2008,"Danny Pang, Oxide Chun Pang","Jason Richman (screenplay), Oxide Chun Pang, Danny Pang","Nicolas Cage, Shahkrit Yamnarm, Charlie Yeung, Panward Hemmanee",Action,English,USA,99,15195406
1707,Country Strong,2010,Shana Feste,Shana Feste,"Gwyneth Paltrow, Tim McGraw, Garrett Hedlund, Leighton Meester",Drama,English,USA,117,20218921
1708,Dawson City: Frozen Time,2016,Bill Morrison,Bill Morrison,"Kathy Jones-Gates, Michael Gates, Sam Kula, Bill O'Farrell",Documentary,English,USA,120,122207
1709,21 Jump Street,2012,"Phil Lord, Christopher Miller","Michael Bacall (screenplay), Michael Bacall (story), Jonah Hill (story), Patrick Hasburgh (television series), Stephen J. Cannell (television series)","Jonah Hill, Channing Tatum, Brie Larson, Dave Franco",Action,English,USA,109,134000000
1710,[REC] 3: Genesis,2012,Paco Plaza,"Luiso Berdejo (screenplay), Paco Plaza (screenplay), Luiso Berdejo (story), Paco Plaza (story), David Gallart (story)","Leticia Dolera, Diego Martin, Ismael Martinez, Alex Monner",Horror,Spanish,Spain,80,6921
1711,Staying Vertical,2016,Alain Guiraudie,Alain Guiraudie (screenplay),"Damien Bonnard, India Hair, Raphael Thiery, Christian Bouillette",Comedy,French,France,98,11747
1712,Everybody's Fine,2009,Kirk Jones,"Kirk Jones, Giuseppe Tornatore (original screenplay), Tonino Guerra (original screenplay), Massimo De Rita (original screenplay)","Robert De Niro, Drew Barrymore, Kate Beckinsale, Sam Rockwell",Adventure,English,USA,99,8855646
1713,Cold War II,2016,"Lok Man Leung, Kim-Ching Luk","Lok Man Leung, Kim-Ching Luk, Wai Lun Ng","Aaron Kwok, Tony Ka Fai Leung, Yun-Fat Chow, Charlie Yeung",Action,Cantonese,Hong Kong,110,553754
1714,Peeples,2013,Tina Gordon Chism,Tina Gordon Chism,"Craig Robinson, Kerry Washington, David Alan Grier, S. Epatha Merkerson",Comedy,English,USA,95,9123834
1715,Like Crazy,2011,Drake Doremus,"Drake Doremus, Ben York Jones","Anton Yelchin, Felicity Jones, Jennifer Lawrence, Charlie Bewley",Drama,English,USA,86,3388210
1716,Free Birds,2013,Jimmy Hayward,"Scott Mosier (screenplay), Jimmy Hayward (screenplay), David I. Stern (story), John J. Strauss (story), Russell Leigh Sharman","Owen Wilson, Woody Harrelson, Amy Poehler, George Takei",Animation,English,USA,91,46667023
1717,Fired Up!,2009,Will Gluck,Will Gluck,"Nicholas D'Agosto, Eric Christian Olsen, Sarah Roemer, Molly Sims",Comedy,English,USA,90,16755117
1718,The Proposal,2009,Anne Fletcher,Peter Chiarelli,"Sandra Bullock, Ryan Reynolds, Mary Steenburgen, Craig T. Nelson",Comedy,English,USA,108,163900057
1719,The Mysteries of Pittsburgh,2008,Rawson Marshall Thurber,"Rawson Marshall Thurber (screenplay), Michael Chabon (novel)","Jon Foster, Peter Sarsgaard, Sienna Miller, Nick Nolte",Adventure,English,USA,95,32783
1720,Little Men,2016,Ira Sachs,"Ira Sachs, Mauricio Zacharias","Greg Kinnear, Jennifer Ehle, Paulina Garcia, Michael Barbieri",Drama,English,USA,85,702191
1721,The Incredible Hulk,2008,Louis Leterrier,"Zak Penn (screenplay), Zak Penn (screen story), Stan Lee (Marvel comic book), Jack Kirby (Marvel comic book)","Edward Norton, Liv Tyler, Tim Roth, William Hurt",Action,English,USA,112,134518390
1722,OK Jaanu,2017,Shaad Ali,"Mani Ratnam (story and screenplay), Gulzar (dialogue)","Shraddha Kapoor, Naseeruddin Shah, Aditya Roy Kapoor, Kitu Gidwani",Drama,Hindi,India,135,345872
1723,Now You See Me 2,2016,Jon M. Chu,"Ed Solomon (screenplay by), Ed Solomon (story by), Peter Chiarelli (story by), Boaz Yakin (based on characters created by), Edward Ricourt (based on characters created by)","Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco",Action,English,France,129,65030563
1724,Higher Ground,2011,Vera Farmiga,"Carolyn S. Briggs (screenplay), Tim Metcalfe (screenplay), Carolyn S. Briggs (memoir ""This Dark World"")","Joshua Leonard, Norbert Leo Butz, Michael Chernus, Vera Farmiga",Drama,English,USA,109,841056
1725,The Jungle Book,2016,Jon Favreau,"Justin Marks (screenplay by), Rudyard Kipling (based on the books by)","Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba",Adventure,English,UK,106,363995937
1726,Salt,2010,Phillip Noyce,Kurt Wimmer,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski",Action,English,USA,100,118311368
1727,The Bullet Vanishes,2012,Chi-Leung Law,"Chi-Leung Law, Sin Ling Yeung (original story), Sin Ling Yeung","Nicholas Tse, Ching Wan Lau, Mi Yang, Boran Jing",Action,Mandarin,China,108,109172
1728,The Girl in the Book,2015,Marya Cohn,Marya Cohn,"Emily VanCamp, Courtney Daniels, Jordan Lage, Ana Mulvoy Ten",Drama,English,USA,86,5249
1729,Doomsday,2008,Neil Marshall,Neil Marshall,"Caryn Peterson, Adeola Ariyo, Emma Cleasby, Christine Tomlinson",Action,English,UK,105,10955425
1730,Spy Kids 4: All the Time in the World,2011,Robert Rodriguez,Robert Rodriguez,"Jessica Alba, Joel McHale, Rowan Blanchard, Mason Cook",Action,English,USA,89,38536376
1731,The Secret of Kells,2009,"Tomm Moore, Nora Twomey(co-director)","Tomm Moore (original story), Fabrice Ziolkowski (screenplay)","Evan McGuire, Christen Mooney, Brendan Gleeson, Mick Lally",Animation,English,France,75,686383
1732,Devil's Knot,2013,Atom Egoyan,"Paul Harris Boardman (screenplay), Scott Derrickson (screenplay), Mara Leveritt (book)","Reese Witherspoon, Colin Firth, Alessandro Nivola, James Hamrick",Biography,English,USA,114,122892
1734,The Attack,2012,Ziad Doueiri,"Joelle Touma, Ziad Doueiri, Yasmina Khadra (novel)","Ali Suliman, Reymonde Amsallem, Evgenia Dodina, Dvir Benedek",Drama,Arabic,Lebanon,102,1103645
1736,Approved for Adoption,2012,"Laurent Boileau, Jung","Laurent Boileau, Jung (also graphic novel)","Maxym Anciaux, Cathy Boquet, Mahe Collet, Christelle Cornil",Animation,French,France,70,4014
1737,Despicable Me,2010,"Pierre Coffin, Chris Renaud","Cinco Paul (screenplay by), Ken Daurio (screenplay by), Sergio Pablos (based on a story by)","Steve Carell, Jason Segel, Russell Brand, Julie Andrews",Animation,English,USA,95,251476985
1738,Talaash,2012,Reema Kagti,"Farhan Akhtar (dialogue), Anurag Kashyap (additional dialogue), Zoya Akhtar (story), Reema Kagti (story), Zoya Akhtar (screenplay), Reema Kagti (screenplay)","Aamir Khan, Kareena Kapoor, Nawazuddin Siddiqui, Rajkummar Rao",Crime,Hindi,India,140,2706375
1739,Chi-Raq,2015,Spike Lee,"Kevin Willmott, Spike Lee, Aristophanes (play)","Nick Cannon, Teyonah Parris, Wesley Snipes, Angela Bassett",Comedy,English,USA,127,2647378
1740,The Smurfs 2,2013,Raja Gosnell,"J. David Stem (screenplay), David N. Weiss (screenplay), Jay Scherick (screenplay), David Ronn (screenplay), Karey Kirkpatrick (screenplay), J. David Stem (story), David N. Weiss (story), Jay Scherick (story), David Ronn (story), Peyo (characters and works)","Hank Azaria, Neil Patrick Harris, Brendan Gleeson, Jayma Mays",Animation,English,USA,105,71017784
1741,I Saw the Devil,2010,Jee-woon Kim,"Jee-woon Kim (adaptation), Hoon-jung Park (screenplay)","Byung-Hun Lee, Min-sik Choi, Joon-Hyuk Lee, In-seo Kim",Action,Korean,South Korea,142,128392
1742,The Principle,2014,Katheryne Thomas,Rick DeLano,"Julian Barbour, Robert J. Bennett, John Byl, Bernard J. Carr",Documentary,English,USA,90,86172
1743,Veer,2010,Anil Sharma,"Shailesh Verma (screenplay & dialogue), Shaktimaan Talwar (screenplay & dialogue), Salman Khan (story), Pit Kuhlmann (script translation)","Salman Khan, Jackie Shroff, Mithun Chakraborty, Neena Gupta",Action,Hindi,India,169,499685
1744,Ancien and the Magic Tablet,2017,Kenji Kamiyama,Kenji Kamiyama,"Mitsuki Takahata, Shinnosuke Mitsushima, Ray Chase, Ben Diskin",Animation,Japanese,Japan,111,46020
1745,Dangal,2016,Nitesh Tiwari,"Piyush Gupta, Shreyas Jain, Nikhil Mehrotra, Rajshri Sudhakar (Dialogue Writer: Telugu), Nitesh Tiwari","Aamir Khan, Fatima Sana Shaikh, Sanya Malhotra, Sakshi Tanwar",Action,Hindi,India,161,12382287
1746,Gran Torino,2008,Clint Eastwood,"Nick Schenk (screenplay), Dave Johannson (story), Nick Schenk (story)","Clint Eastwood, Christopher Carley, Bee Vang, Ahney Her",Drama,English,Germany,116,148055047
1747,The 33,2015,Patricia Riggen,"Mikko Alanne (screenplay), Craig Borten (screenplay), Michael Thomas (screenplay), Jose Rivera (screen story), Hector Tobar (book)","Antonio Banderas, Rodrigo Santoro, Juliette Binoche, James Brolin",Biography,English,Chile,127,9144459
1748,I'm in Love with a Church Girl,2013,Steve Race,Galley Molina,"Zahn McClarnon, Michael Madsen, Stephen Baldwin, Martin Kove",Crime,English,USA,118,2380405
1749,About Cherry,2012,Stephen Elliott,"Stephen Elliott, Lorelei Lee","Ashley Hinshaw, Lili Taylor, Dev Patel, Diane Farr",Drama,English,USA,98,2760
1750,All Is Lost,2013,J.C. Chandor,J.C. Chandor,Robert Redford,Action,English,USA,106,4300353
1751,Pieta,2012,Ki-duk Kim,Ki-duk Kim,"Min-soo Jo, Jung-Jin Lee, Ki-Hong Woo, Eunjin Kang",Crime,Korean,South Korea,104,13177
1752,The Last Women Standing,2015,Luo Luo,Luo Luo,"Qi Shu, Eddie Peng, Hong Pan, Shih-Chieh King",Romance,Mandarin,China,96,163017
1753,The Night Before,2015,Jonathan Levine,"Jonathan Levine (screenplay), Kyle Hunter (screenplay), Ariel Shaffir (screenplay), Evan Goldberg (screenplay), Jonathan Levine (story)","Joseph Gordon-Levitt, Seth Rogen, Anthony Mackie, Jillian Bell",Adventure,English,USA,101,31315980
1754,Decoding Annie Parker,2013,Steven Bernstein,"Adam Bernstein, Steven Bernstein, Michael Moss","Helen Hunt, Samantha Morton, Aaron Paul, Rashida Jones",Drama,English,USA,91,39850
1755,A Green Story,2012,Nick Agiashvili,Nick Agiashvili,"Shannon Elizabeth, Ed O'Ross, Billy Zane, Annabella Sciorra",Biography,English,USA,90,12519
1756,Good Neighbors,2010,Jacob Tierney,"Chrystine Brouillet (novel), Jacob Tierney","Jay Baruchel, Anne-Marie Cadieux, Diane D'Aquila, Xavier Dolan",Drama,English,Canada,99,6805
1757,Diary of a Wimpy Kid,2010,Thor Freudenthal,"Jackie Filgo (screenplay), Jeff Filgo (screenplay), Gabe Sachs (screenplay), Jeff Judah (screenplay), Jeff Kinney (book)","Zachary Gordon, Robert Capron, Rachael Harris, Steve Zahn",Comedy,English,USA,94,64001297
1758,Wanted,2008,Timur Bekmambetov,"Michael Brandt (screenplay), Derek Haas (screenplay), Chris Morgan (screenplay), Michael Brandt (story), Derek Haas (story), Mark Millar (comic book series), J.G. Jones (comic book series)","James McAvoy, Morgan Freeman, Angelina Jolie, Terence Stamp",Action,English,USA,110,134294280
1759,Tonight You're Mine,2011,David Mackenzie,Thomas Leveritt (screenplay),"Rebecca Benson, Luke Treadaway, Mathew Baynton, Natalia Tena",Comedy,English,UK,80,5086
1760,Run & Jump,2013,Steph Green,"Steph Green, Ailbhe Keogan","Ciara Gallagher, Maxine Peake, Edward MacLiam, Will Forte",Drama,English,Ireland,106,6280
1761,The Boy,2016,William Brent Bell,Stacey Menear,"Lauren Cohan, Rupert Evans, James Russell, Jim Norton",Horror,English,China,97,30196680
1762,Season of the Witch,2011,Dominic Sena,Bragi F. Schut,"Nicolas Cage, Ron Perlman, Stephen Campbell Moore, Stephen Graham",Action,English,USA,95,24800000
1763,Evocateur: The Morton Downey Jr. Movie,2012,"Seth Kramer, Daniel A. Miller, Jeremy Newberger",Daniel A. Miller,"Morton Downey Jr., Glenn Beck, Victoria Jackson, Bob Pittman",Documentary,English,USA,90,21476
1764,"The Goods: Live Hard, Sell Hard",2009,Neal Brennan,"Andy Stock, Rick Stempson","Jeremy Piven, Ving Rhames, James Brolin, David Koechner",Comedy,English,USA,89,15000327
1765,Nas: Time Is Illmatic,2014,One9,Erik Parker,"Nas, Cornel West, Pharrell Williams, Swizz Beatz",Documentary,English,USA,74,151366
1766,Jagga Jasoos,2017,Anurag Basu,"Anurag Basu (story and screenplay), Amitabh Bhattacharya (dialogue), Debatma Mandal (dialogue), Samrat Chakraborty (dialogue), Anurag Basu (dialogue)","Ranbir Kapoor, Katrina Kaif, Saswata Chatterjee, Chitrak Bandyopadhyay",Action,Hindi,India,161,854064
1767,Western,2017,Valeska Grisebach,Valeska Grisebach,"Meinhard Neumann, Reinhardt Wetrek, Syuleyman Alilov Letifov, Veneta Fragnova",Drama,German,Germany,121,34215
1768,Furious 7,2015,James Wan,"Chris Morgan, Gary Scott Thompson (characters)","Vin Diesel, Paul Walker, Jason Statham, Michelle Rodriguez",Action,English,Japan,137,316986481
1769,Go for Sisters,2013,John Sayles,John Sayles,"LisaGay Hamilton, Edward James Olmos, Yolonda Ross, Hilary Barraford",Crime,English,USA,123,55963
1770,Rhymes for Young Ghouls,2013,Jeff Barnaby,Jeff Barnaby,"Devery Jacobs, Glen Gould, Brandon Oakes, Roseanne Supernault",Crime,English,Canada,88,3257
1771,Smart People,2008,Noam Murro,Mark Poirier,"Dennis Quaid, Sarah Jessica Parker, Thomas Haden Church, Ellen Page",Comedy,English,USA,95,9496882
1772,2012,2009,Roland Emmerich,"Roland Emmerich, Harald Kloser","John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton",Action,English,USA,158,166112167
1775,Gamer,2009,"Mark Neveldine, Brian Taylor","Mark Neveldine, Brian Taylor","Gerard Butler, Amber Valletta, Michael C. Hall, Kyra Sedgwick",Action,English,USA,95,20488579
1776,Goat,2016,Andrew Neel,"David Gordon Green, Brad Land (memoir), Andrew Neel, Mike Roberts","Ben Schnetzer, Nick Jonas, Gus Halper, Danny Flaherty",Drama,English,USA,96,23020
1778,Soul Kitchen,2009,Fatih Akin,"Fatih Akin (screenplay), Adam Bousdoukos (screenplay)","Adam Bousdoukos, Moritz Bleibtreu, Pheline Roggan, Anna Bederke",Comedy,German,Germany,99,200000
1779,Mia and the Migoo,2008,Jacques-Remy Girerd,"Benoit Chieux (screenplay), Jacques-Remy Girerd, Antoine Lanciaux (screenplay), Stephanie Sheh (adaptation), Iouri Tcherenkov (screenplay)","Dany Boon, John DiMaggio, Garance Lagraa, Charlie Girerd",Animation,French,France,92,16975
1780,Rangeelay,2013,Navaniat Singh,Dheeraj Rattan (story & screeplay),"Binnu Dhillon, Jaswinder Bhalla, Rana Ranbir, Shavinder Mahal",Action,Panjabi,India,129,139074
1781,The Transfiguration,2016,Michael O'Shea,Michael O'Shea,"Eric Ruffin, Karin Cherches, Luis Scott, Dangelo Bonneli",Drama,English,USA,97,21926
1782,The Eye,2008,"David Moreau, Xavier Palud","Sebastian Gutierrez (screenplay), Yuet-Jan Hui, Oxide Chun Pang, Danny Pang","Jessica Alba, Alessandro Nivola, Parker Posey, Rade Serbedzija",Horror,English,USA,98,31400000
1783,The Time that Remains,2009,Elia Suleiman,Elia Suleiman,"Ali Suliman, Maisa Abd Elhadi, Saleh Bakri, Elia Suleiman",Drama,Arabic,UK,109,31788
1784,A Little Bit of Heaven,2011,Nicole Kassell,Gren Wells,"Kate Hudson, Gael Garcia Bernal, Kathy Bates, Lucy Punch",Comedy,English,USA,106,453167
1785,Inspector Bellamy,2009,Claude Chabrol,"Odile Barski (scenario,  adaptation and dialogue), Claude Chabrol (scenario,  adaptation and dialogue)","Gerard Depardieu, Clovis Cornillac, Jacques Gamblin, Marie Bunel",Crime,French,France,110,105893
1786,Red Army,2014,Gabe Polsky,Gabe Polsky,"Scotty Bowman, Herb Brooks, Don Cherry, Mark Deakins",Documentary,English,USA,84,694600
1787,No One Lives,2012,Ryuhei Kitamura,David Cohen,"Luke Evans, Adelaide Clemens, Lee Tergesen, Derek Magyar",Horror,English,USA,86,53929
1788,The Other Guys,2010,Adam McKay,"Adam McKay, Chris Henchy","Will Ferrell, Derek Jeter, Mark Wahlberg, Eva Mendes",Action,English,USA,107,119219978
1789,Doubt,2008,John Patrick Shanley,"John Patrick Shanley (screenplay), John Patrick Shanley (play)","Meryl Streep, Philip Seymour Hoffman, Amy Adams, Viola Davis",Drama,English,USA,104,33422556
1790,Hamari Adhuri Kahani,2015,Mohit Suri,"Mahesh Bhatt, Shagufta Rafique (dialogue)","Rajkummar Rao, Vidya Balan, Emraan Hashmi, Amala Akkineni",Drama,Hindi,India,129,235361
1791,Mirrors,2008,Alexandre Aja,"Alexandre Aja (screenplay), Gregory Levasseur (screenplay), Sung-ho Kim (Korean motion picture ""Into the Mirror"")","Kiefer Sutherland, Paula Patton, Cameron Boyce, Arika Gluck",Horror,English,USA,110,30575158
1792,Contracted,2013,Eric England,Eric England,"Najarra Townsend, Caroline Williams, Alice Macdonald, Matt Mercer",Drama,English,USA,84,3328
1793,The Black Power Mixtape 1967-1975,2011,Goran Olsson,Goran Olsson,"Abiodun Oyewole, Stokely Carmichael, Talib Kweli, Mable Carmichael",Documentary,English,Sweden,100,167360
1794,Cake,2014,Daniel Barnz,Patrick Tobin (screenplay),"Jennifer Aniston, Adriana Barraza, Anna Kendrick, Sam Worthington",Drama,English,USA,102,1319947
1795,My Friend Dahmer,2017,Marc Meyers,"Marc Meyers, John Backderf (based on the book My Friend Dahmer by)","Zachary Davis Brown, Lily Kozub, Ross Lynch, Vincent Kartheiser",Biography,English,USA,107,1306946
1796,To the Arctic 3D,2012,Greg MacGillivray,Stephen Judson,"Leanne Allison, Karsten Heuer, Bjorne Kvernmo, Simon Qamanirq",Documentary,English,USA,40,14445922
1797,Patti Cake$,2017,Geremy Jasper,Geremy Jasper,"Sahr Ngaujah, Danielle Macdonald, Bridget Everett, Mamoudou Athie",Drama,English,USA,109,794817
1798,The Croods,2013,"Kirk DeMicco, Chris Sanders","Chris Sanders (screenplay), Kirk DeMicco (screenplay), John Cleese (story), Kirk DeMicco (story), Chris Sanders (story)","Nicolas Cage, Emma Stone, Ryan Reynolds, Catherine Keener",Animation,English,USA,98,187165546
1799,And So It Goes,2014,Rob Reiner,Mark Andrus,"Michael Douglas, Diane Keaton, Sterling Jerins, Annie Parisse",Comedy,English,USA,94,10482672
1800,The Hunger Games,2012,Gary Ross,"Gary Ross (screenplay), Suzanne Collins (screenplay), Billy Ray (screenplay), Suzanne Collins (novel)","Stanley Tucci, Wes Bentley, Jennifer Lawrence, Willow Shields",Action,English,USA,142,407981652
1801,An Inconsistent Truth,2012,Shayne Edwards,Phil Valentine,"Phil Valentine, Newt Gingrich, Jim DeMint, James Inhofe",Documentary,English,USA,89,52756
1802,The Monuments Men,2014,George Clooney,"George Clooney (screenplay), Grant Heslov (screenplay), Robert M. Edsel (book), Bret Witter (book)","George Clooney, Matt Damon, Bill Murray, Cate Blanchett",Comedy,English,USA,118,67239378
1803,Twelve,2010,Joel Schumacher,"Jordan Melamed (screenplay), Nick McDonell (novel)","Chace Crawford, Rory Culkin, Philip Ettinger, Esti Ginzburg",Action,English,USA,93,181591
1805,Prometheus,2012,Ridley Scott,"Jon Spaihts, Damon Lindelof, Dan O'Bannon (based on elements created by), Ronald Shusett (based on elements created by)","Noomi Rapace, Michael Fassbender, Charlize Theron, Idris Elba",Adventure,English,USA,124,126464904
