Title,Year,Genre,Director,Writer,Actors,Language,Country,Runtime,BoxOffice
Finding Fanny,2014,Adventure,Homi Adajania,Homi Adajania,Deepika Padukone,English,India,102,515393
Seventh Son,2014,Action,Sergei Bodrov,Charles Leavitt ,Jeff Bridges,English,USA,102,14945592
Cake,2014,Drama,Daniel Barnz,Patrick Tobin ,Jennifer Aniston,English,USA,102,1319947
St. Vincent,2014,Comedy,Theodore Melfi,Theodore Melfi ,Bill Murray,English,USA,102,33454313
300: Rise of an Empire,2014,Action,Noam Murro,Zack Snyder ,Sullivan Stapleton,English,USA,102,91024535
Calvary,2014,Drama,John Michael McDonagh,John Michael McDonagh,Brendan Gleeson,English,Ireland,102,5030432
Top Five,2014,Comedy,Chris Rock,Chris Rock,Chris Rock,English,USA,102,17002433
"If You Don't, I Will",2014,Comedy,Sophie Fillieres,Sophie Fillieres ,Emmanuelle Devos,French,France,102,9514
Lazer Team,2015,Action,Matt Hullum,Burnie Burns ,Burnie Burns,English,USA,102,1149878
Growing Up Smith,2015,Comedy,Frank Lotito,Anjul Nigam,Jason Lee,English,USA,102,14867
Eye in the Sky,2015,Drama,Gavin Hood,Guy Hibbert,Faisa Hassan,Somali,UK,102,16641379
As I Open My Eyes,2015,Drama,Leyla Bouzid,Leyla Bouzid,Baya Medhaffer,Arabic,Tunisia,102,30924
Punisher: War Zone,2008,Action,Lexi Alexander,Nick Santora,Ray Stevenson,English,USA,103,7948159
The Spirit,2008,Action,Frank Miller,Frank Miller ,Jaime King,English,USA,103,19781879
Oorlogswinter,2008,Drama,Martin Koolhoven,Martin Koolhoven ,Martijn Lakemeier,Dutch,Netherlands,103,200000
Summer Hours,2008,Drama,Olivier Assayas,Olivier Assayas,Juliette Binoche,French,France,103,1566427
Rough and Corny,2008,Comedy,Carlos Cuaron,Carlos Cuaron ,Gael Garcia Bernal,Spanish,Mexico,103,1746295
"New York, I Love You",2008,Comedy,Fatih Akin,Hu Hong ,Hayden Christensen,English,USA,103,1600000
American Violet,2008,Drama,Tim Disney,Bill Haney,Nicole Beharie,English,USA,103,465786
The Spirit,2008,Action,Frank Miller,Frank Miller ,Jaime King,English,USA,103,19781879
Get Low,2009,Drama,Aaron Schneider,Chris Provenzano ,Robert Duvall,English,USA,103,9176469
Did You Hear About the Morgans?,2009,Comedy,Marc Lawrence,Marc Lawrence,Hugh Grant,English,USA,103,29580087
Madea Goes to Jail,2009,Comedy,Tyler Perry,Tyler Perry ,Tyler Perry,English,USA,103,90485233
Harry Brown,2009,Action,Daniel Barber,Gary Young ,Michael Caine,English,UK,103,1818681
Trollhunter,2010,Drama,Andre Ovredal,Andre Ovredal,Otto Jespersen,Norwegian,Norway,103,252652
West Is West,2010,Comedy,Andy De Emmony,Ayub Khan-Din ,Aqib Khan,English,UK,103,1458734
The Expendables,2010,Action,Sylvester Stallone,Dave Callaham ,Sylvester Stallone,English,USA,103,102981571
The First Grader,2010,Biography,Justin Chadwick,Ann Peacock,Naomie Harris,English,UK,103,332306
Never Let Me Go,2010,Drama,Mark Romanek,Kazuo Ishiguro ,Carey Mulligan,English,UK,103,2412045
Potiche,2010,Comedy,Francois Ozon,Francois Ozon ,Catherine Deneuve,French,France,103,900000
Our Family Wedding,2010,Comedy,Rick Famuyiwa,Wayne Conley ,Forest Whitaker,English,USA,103,18602225
Our Family Wedding,2010,Comedy,Rick Famuyiwa,Wayne Conley ,Forest Whitaker,English,USA,103,18602225
Insidious,2010,Horror,James Wan,Leigh Whannell,Patrick Wilson,English,USA,103,53700000
Toy Story 3,2010,Animation,Lee Unkrich,John Lasseter ,Tom Hanks,English,USA,103,414984497
London Boulevard,2010,Crime,William Monahan,William Monahan ,Colin Farrell,English,USA,103,10484
Even the Rain,2010,Drama,Iciar Bollain,Paul Laverty,Luis Tosar,Spanish,Spain,103,558342
Ramona and Beezus,2010,Adventure,Elizabeth Allen Rosenbaum,Laurie Craig ,Joey King,English,USA,103,26161406
The Tourist,2010,Action,Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck ,Johnny Depp,English,USA,103,67631157
The Human Resources Manager,2010,Comedy,Eran Riklis,Abraham B. Jehoshua ,Mark Ivanir,Hebrew,Israel,103,29374
The Last Airbender,2010,Action,M. Night Shyamalan,M. Night Shyamalan,Noah Ringer,English,USA,103,131564731
The Wolfman,2010,Drama,Joe Johnston,Andrew Kevin Walker ,Simon Merrells,English,USA,103,61937495
"Tomorrow, When the War Began",2010,Action,Stuart Beattie,John Marsden ,Caitlin Stasey,English,Australia,103,8996537
Delhi Belly,2011,Action,Abhinay Deo,Mr. Moris ,Imran Khan,English,India,103,1531757
The Muppets,2011,Adventure,James Bobin,Jason Segel,Jason Segel,English,USA,103,88625922
Pina,2011,Documentary,Wim Wenders,Wim Wenders,Regina Advento,German,Germany,103,3520458
Muran,2011,Action,Rajan Madhav,Rajan Madhav,Prasanna,Tamil,India,103,27208
My Worst Nightmare,2011,Comedy,Anne Fontaine,Anne Fontaine,Isabelle Huppert,French,France,103,21456
Hit So Hard,2011,Documentary,P. David Ebersole,P. David Ebersole,Patty Schemel,English,USA,103,30402
Sing Your Song,2011,Documentary,Susanne Rostock,unknown,Harry Belafonte,English,USA,103,47718
The Smurfs,2011,Animation,Raja Gosnell,J. David Stem ,Hank Azaria,English,USA,103,142614158
In Our Nature,2012,Drama,Brian Savelson,Brian Savelson,Zach Gilford,English,USA,103,6175
Imogene,2012,Comedy,Shari Springer Berman,Michelle Morgan,Kristen Wiig,English,USA,103,1378426
This Means War,2012,Action,McG,Timothy Dowling ,Reese Witherspoon,English,USA,103,54758461
The Sapphires,2012,Biography,Wayne Blair,Keith Thompson,Tanika Lonesborough,English,Australia,103,2400000
A Hijacking,2012,Drama,Tobias Lindholm,Tobias Lindholm,Pilou Asbaek,Danish,Denmark,103,269428
Starlet,2012,Drama,Sean Baker,Sean Baker,Dree Hemingway,English,USA,103,59014
The Perks of Being a Wallflower,2012,Drama,Stephen Chbosky,Stephen Chbosky ,Logan Lerman,English,USA,103,14900000
The Expendables 2,2012,Action,Simon West,Richard Wenk ,Sylvester Stallone,English,USA,103,85017401
This Means War,2012,Action,McG,Timothy Dowling ,Reese Witherspoon,English,USA,103,54758461
This Means War,2012,Action,McG,Timothy Dowling ,Reese Witherspoon,English,USA,103,54758461
Darling Companion,2012,Comedy,Lawrence Kasdan,Meg Kasdan,Diane Keaton,English,USA,103,793352
The Perks of Being a Wallflower,2012,Drama,Stephen Chbosky,Stephen Chbosky ,Logan Lerman,English,USA,103,14900000
Narco Cultura,2013,Documentary,Shaul Schwarz,unknown,unknown,English,USA,103,144405
The Way Way Back,2013,Comedy,Nat Faxon,Nat Faxon,Steve Carell,English,USA,103,21501098
Alone Yet Not Alone,2013,Action,Ray Bengston,Tracy Leininger Craven ,Kelly Greyson,English,USA,103,668172
The Way Way Back,2013,Comedy,Nat Faxon,Nat Faxon,Steve Carell,English,USA,103,21501098
One Chance,2013,Biography,David Frankel,Justin Zackham,James Corden,English,UK,103,1318022
Kick-Ass 2,2013,Action,Jeff Wadlow,Jeff Wadlow ,Aaron Taylor-Johnson,English,USA,103,28800000
This Is Where I Leave You,2014,Comedy,Shawn Levy,Jonathan Tropper ,Jason Bateman,English,USA,103,26730317
Boychoir,2014,Drama,Francois Girard,Ben Ripley,Dustin Hoffman,English,USA,103,191891
A Fool,2014,Comedy,Jianbin Chen,Xuewen Hu ,Jianbin Chen,Chinese,China,103,5741
When Marnie Was There,2014,Animation,James Simone,Joan G. Robinson ,Sara Takatsuki,Japanese,Japan,103,463187
The Look of Silence,2014,Documentary,Joshua Oppenheimer,unknown,Adi Rukun,Indonesian,Denmark,103,48097
The Rover,2014,Action,David Michod,Joel Edgerton ,Guy Pearce,English,Australia,103,709133
Grace of Monaco,2014,Biography,Olivier Dahan,Arash Amel ,Nicole Kidman,English,France,103,640122
No Escape,2015,Action,John Erick Dowdle,John Erick Dowdle,Owen Wilson,English,USA,103,27274112
Goosebumps,2015,Adventure,Rob Letterman,Darren Lemke ,Jack Black,English,USA,103,76079946
Entertainment,2015,Drama,Rick Alverson,Rick Alverson,Gregg Turkington,English,USA,103,55506
Janis: Little Girl Blue,2015,Documentary,Amy Berg,unknown,Janis Joplin,English,USA,103,410465
Kill Your Friends,2015,Comedy,Owen Harris,John Niven ,Nicholas Hoult,English,UK,103,204442
Beyond the Mask,2015,Action,Chad Burns,Paul McCusker ,Andrew Cheney,English,USA,103,1231025
Listen to Me Marlon,2015,Documentary,Stevan Riley,Stevan Riley,Marlon Brando,English,UK,103,249756
The Hunting Ground,2015,Documentary,Kirby Dick,Kirby Dick,Andrea Pino,English,USA,103,185328
Dope,2015,Comedy,Rick Famuyiwa,Rick Famuyiwa,ASAP Rocky,English,USA,103,11674449
Harold & Kumar Escape from Guantanamo Bay,2008,Adventure,Jon Hurwitz,Jon Hurwitz,John Cho,English,USA,104,38087366
Transporter 3,2008,Action,Olivier Megaton,Luc Besson,Jason Statham,English,France,104,31316973
The Forbidden Kingdom,2008,Action,Rob Minkoff,John Fusco,Jet Li,English,USA,104,40044561
The X Files: I Want to Believe,2008,Drama,Chris Carter,Frank Spotnitz,David Duchovny,English,USA,104,20847266
Mad Money,2008,Comedy,Callie Khouri,Glenn Gers ,Diane Keaton,English,USA,104,20536106
Doubt,2008,Drama,John Patrick Shanley,John Patrick Shanley ,Meryl Streep,English,USA,104,33422556
Yes Man,2008,Comedy,Peyton Reed,Nicholas Stoller ,Jim Carrey,English,USA,104,97600000
What Just Happened,2008,Comedy,Barry Levinson,Art Linson,Robert De Niro,English,USA,104,1043419
The Oxford Murders,2008,Crime,Alex de la Iglesia,Alex de la Iglesia ,Elijah Wood,English,Spain,104,3607
The Day the Earth Stood Still,2008,Drama,Scott Derrickson,David Scarpa ,Keanu Reeves,English,USA,104,79136963
What Just Happened,2008,Comedy,Barry Levinson,Art Linson,Robert De Niro,English,USA,104,1043419
Confessions of a Shopaholic,2009,Comedy,P.J. Hogan,Tracey Jackson ,Isla Fisher,English,USA,104,44239688
Cracks,2009,Drama,Jordan Scott,Ben Court ,Eva Green,English,UK,104,17595
Wild Grass,2009,Drama,Alain Resnais,Christian Gailly ,Sabine Azema,French,France,104,403649
Splice,2009,Drama,Vincenzo Natali,Vincenzo Natali ,Adrien Brody,English,Canada,104,16999046
The Boys Are Back,2009,Drama,Scott Hicks,Simon Carr ,Clive Owen,English,Australia,104,783013
Shrink,2009,Comedy,Jonas Pate,Thomas Moffett,Kevin Spacey,English,USA,104,93250
City Island,2009,Comedy,Raymond De Felitta,Raymond De Felitta,Andy Garcia,English,USA,104,6670712
The Back-up Plan,2010,Comedy,Alan Poul,Kate Angelo,Jennifer Lopez,English,USA,104,37481242
The Back-up Plan,2010,Comedy,Alan Poul,Kate Angelo,Jennifer Lopez,English,USA,104,37481242
The Company Men,2010,Drama,John Wells,John Wells,Ben Affleck,English,USA,104,4439063
She's Out of My League,2010,Comedy,Jim Field Smith,Sean Anders,Jay Baruchel,English,USA,104,28712974
Meek's Cutoff,2010,Drama,Kelly Reichardt,Jonathan Raymond ,Michelle Williams,English,USA,104,977600
Prom,2011,Comedy,Joe Nussbaum,Katie Wech,Aimee Teegarden,English,USA,104,10106233
TT3D: Closer to the Edge,2011,Documentary,Richard De Aragues,unknown,Guy Martin,English,UK,104,312998
Paul,2011,Adventure,Greg Mottola,Simon Pegg,Mia Stallard,English,USA,104,37371385
Bernie,2011,Biography,Richard Linklater,Skip Hollandsworth ,Jack Black,English,USA,104,5900000
35 and Ticking,2011,Comedy,Russ Parr,unknown,Tamala Jones,English,USA,104,113888
Winnie Mandela,2011,Biography,Darrell Roodt,Anne Marie du Preez Bezdrob ,Jennifer Hudson,English,South Africa,104,61847
Prom,2011,Comedy,Joe Nussbaum,Katie Wech,Aimee Teegarden,English,USA,104,10106233
Tower Heist,2011,Action,Brett Ratner,Adam Cooper ,Ben Stiller,English,USA,104,78009155
Drive Angry,2011,Action,Patrick Lussier,Todd Farmer,Nicolas Cage,English,USA,104,10706786
"The Man Nobody Knew: In Search of My Father, CIA Spymaster William Colby",2011,Documentary,Carl Colby,unknown,unknown,English,USA,104,183342
The Vow,2012,Drama,Michael Sucsy,Abby Kohn ,Rachel McAdams,English,USA,104,125014030
Pieta,2012,Crime,Ki-duk Kim,Ki-duk Kim,Min-soo Jo,Korean,South Korea,104,13177
Ruby Sparks,2012,Comedy,Jonathan Dayton,Zoe Kazan,Paul Dano,English,USA,104,2535819
Into the White,2012,Action,Petter Naess,Ole Meldgaard,Florian Lukas,English,Norway,104,477
Blancanieves,2012,Drama,Pablo Berger,Pablo Berger,Daniel Gimenez Cacho,Spanish,Spain,104,236394
Into the White,2012,Action,Petter Naess,Ole Meldgaard,Florian Lukas,English,Norway,104,477
Kill Your Darlings,2013,Biography,John Krokidas,Austin Bunn ,Daniel Radcliffe,English,USA,104,679958
Goddess,2013,Comedy,Mark Lamprell,Mark Lamprell,Laura Michelle Kelly,English,Australia,104,1002313
The Lunchbox,2013,Drama,Ritesh Batra,Ritesh Batra ,Irrfan Khan,Hindi,India,104,4231500
The To Do List,2013,Comedy,Maggie Carey,Maggie Carey,Aubrey Plaza,English,USA,104,3400000
Begin Again,2013,Comedy,John Carney,John Carney,James Corden,English,USA,104,12078174
Bicycling with Moliere,2013,Comedy,Philippe Le Guay,Fabrice Luchini ,Fabrice Luchini,French,France,104,37419
Money for Nothing: Inside the Federal Reserve,2013,Documentary,Jim Bruce,Jim Bruce,Liev Schreiber,English,USA,104,13720
Monsters University,2013,Animation,Dan Scanlon,Dan Scanlon ,Billy Crystal,English,USA,104,260300000
Inside Llewyn Davis,2013,Drama,Ethan Coen,Joel Coen,Oscar Isaac,English,USA,104,9666762
Rob the Mob,2014,Crime,Raymond De Felitta,Jonathan Fernandez,Michael Pitt,English,USA,104,206909
"Like Sunday, Like Rain",2014,Drama,Frank Whaley,Frank Whaley,Julian Shatkin,English,USA,104,27623
Vampire Academy,2014,Action,Mark Waters,Richelle Mead ,Zoey Deutch,English,USA,104,7508090
I Believe in Miracles,2015,Documentary,Jonny Owen,Jonny Owen ,Brian Clough,English,UK,104,75528
Danny Says,2015,Documentary,Brendan Toller,Brendan Toller,Mx Justin Vivian Bond,English,USA,104,43684
A Walk in the Woods,2015,Adventure,Ken Kwapis,Michael Arndt ,Robert Redford,English,USA,104,19189413
Goodbye Mr. Loser,2015,Comedy,Da-Mo Peng,Da-Mo Peng,Lun Ai,Chinese,China,104,345305
Golden Kingdom,2015,Drama,Brian Perkins,Brian Perkins ,Shine Htet Zaw,Burmese,USA,104,8077
Mr. Holmes,2015,Drama,Bill Condon,Mitch Cullin ,Ian McKellen,English,UK,104,14173994
Death Race,2008,Action,Paul W.S. Anderson,Paul W.S. Anderson ,Jason Statham,English,USA,105,36064910
More Than a Game,2008,Documentary,Kristopher Belman,Kristopher Belman,LeBron James,English,USA,105,887029
Doomsday,2008,Action,Neil Marshall,Neil Marshall,Caryn Peterson,English,UK,105,10955425
Bigger Stronger Faster*,2008,Documentary,Chris Bell,Chris Bell,Chris Bell,English,USA,105,216748
Hadewijch,2009,Drama,Bruno Dumont,Bruno Dumont ,Julie Sokolowski,French,France,105,4603
The Young Victoria,2009,Biography,Jean-Marc Vallee,Julian Fellowes,Emily Blunt,English,UK,105,10900000
"I Love You, Man",2009,Comedy,John Hamburg,John Hamburg ,Paul Rudd,English,USA,105,71300000
Middle Men,2009,Comedy,George Gallo,George Gallo,Luke Wilson,English,USA,105,723714
Micmacs,2009,Action,Jean-Pierre Jeunet,Jean-Pierre Jeunet ,Dany Boon,French,France,105,1260917
Crude,2009,Documentary,Joe Berlinger,unknown,Dan Ashley,English,USA,105,170295
Brothers,2009,Drama,Jim Sheridan,David Benioff ,Tobey Maguire,English,USA,105,28501651
Coco Before Chanel,2009,Biography,Anne Fontaine,Edmonde Charles-Roux ,Audrey Tautou,French,France,105,5997682
Echelon Conspiracy,2009,Action,Greg Marcks,Michael Nitsberg ,Shane West,English,USA,105,500154
Fighting,2009,Action,Dito Montiel,Robert Munic,Channing Tatum,English,USA,105,23036320
Leaves of Grass,2009,Comedy,Tim Blake Nelson,Tim Blake Nelson,Edward Norton,English,USA,105,68009
Play the Game,2009,Comedy,Marc Fienberg,Marc Fienberg,Paul Campbell,English,USA,105,700000
Night at the Museum: Battle of the Smithsonian,2009,Adventure,Shawn Levy,Robert Ben Garant,Ben Stiller,English,USA,105,177118775
I Hope They Serve Beer in Hell,2009,Comedy,Bob Gosse,Tucker Max ,Tim Huck,English,USA,105,1357585
Letters to Juliet,2010,Adventure,Gary Winick,Jose Rivera,Amanda Seyfried,English,USA,105,53021560
The American,2010,Crime,Anton Corbijn,Rowan Joffe ,George Clooney,English,USA,105,35596227
Bloodworth,2010,Drama,Shane Dax Taylor,W. Earl Brown ,Val Kilmer,English,USA,105,9612
Shanghai,2010,Drama,Mikael Hafstrom,Hossein Amini,John Cusack,English,China,105,44689
You Again,2010,Comedy,Andy Fickman,Moe Jelline,Kristen Bell,English,USA,105,25677801
Heartbreaker,2010,Comedy,Pascal Chaumeil,Laurent Zeitoun ,Romain Duris,French,France,105,504030
Oranges and Sunshine,2010,Drama,Jim Loach,Rona Munro,Emily Watson,English,UK,105,2017976
Beginners,2010,Comedy,Mike Mills,Mike Mills,Ewan McGregor,English,USA,105,5764842
N-Secure,2010,Crime,David M. Matthews,Julius Lewis,Cordell Moore,English,USA,105,2592808
Machete,2010,Action,Ethan Maniquis,Robert Rodriguez,Danny Trejo,English,USA,105,26200000
Stone,2010,Drama,John Curran,Angus MacLachlan,Robert De Niro,English,USA,105,1796024
Standing Ovation,2010,Musical,Stewart Raffill,Stewart Raffill,Devon Jordan,English,USA,105,531806
Armadillo,2010,Documentary,Janus Metz,Kasper Torsting ,unknown,Danish,Denmark,105,10347
Over Your Cities Grass Will Grow,2010,Documentary,Sophie Fiennes,unknown,Anselm Kiefer,French,France,105,46834
Stone,2010,Drama,John Curran,Angus MacLachlan,Robert De Niro,English,USA,105,1796024
Hall Pass,2011,Comedy,Bobby Farrelly,Pete Jones ,Owen Wilson,English,USA,105,45045037
Citizen Gangster,2011,Crime,Nathan Morlando,Nathan Morlando,Scott Speedman,English,Canada,105,625
Rise of the Planet of the Apes,2011,Action,Rupert Wyatt,Rick Jaffa,Andy Serkis,English,USA,105,175300000
Limitless,2011,Mystery,Neil Burger,Leslie Dixon ,Bradley Cooper,English,USA,105,79230923
The Music Never Stopped,2011,Drama,Jim Kohlberg,Gwyn Lurie ,J.K. Simmons,English,USA,105,258077
Texas Killing Fields,2011,Crime,Ami Canaan Mann,Don Ferrarone,Sam Worthington,English,USA,105,45282
God Bless America,2011,Adventure,Bobcat Goldthwait,Bobcat Goldthwait,Joel Murray,English,USA,105,77301
Seeking Justice,2011,Action,Roger Donaldson,Todd Hickey ,Nicolas Cage,English,USA,105,410819
Terri,2011,Comedy,Azazel Jacobs,Patrick DeWitt,Jacob Wysocki,English,USA,105,400000
Texas Killing Fields,2011,Crime,Ami Canaan Mann,Don Ferrarone,Sam Worthington,English,USA,105,45282
Justin Bieber: Never Say Never,2011,Documentary,Jon M. Chu,unknown,Justin Bieber,English,USA,105,73000942
The Iron Lady,2011,Biography,Phyllida Lloyd,Abi Morgan ,Meryl Streep,English,UK,105,29959436
In the House,2012,Comedy,Francois Ozon,Juan Mayorga ,Fabrice Luchini,French,France,105,469746
Crooked Arrows,2012,Drama,Steve Rash,Brad Riddell,Brandon Routh,English,USA,105,1700000
Abraham Lincoln: Vampire Hunter,2012,Action,Timur Bekmambetov,Seth Grahame-Smith ,Benjamin Walker,English,USA,105,37300000
A Late Quartet,2012,Drama,Yaron Zilberman,Seth Grossman ,Catherine Keener,English,USA,105,1400000
At Any Price,2012,Drama,Ramin Bahrani,Ramin Bahrani,Dennis Quaid,English,USA,105,300000
The Other Son,2012,Drama,Lorraine Levy,Noam Fitoussi ,Emmanuelle Devos,French,France,105,844112
Playing for Keeps,2012,Comedy,Gabriele Muccino,Robbie Fox,Gerard Butler,English,USA,105,13099786
The Artist and the Model,2012,Drama,Fernando Trueba,Jean-Claude Carriere,Jean Rochefort,French,Spain,105,48139
Nativity 2: Danger in the Manger!,2012,Comedy,Debbie Isitt,Debbie Isitt,David Tennant,English,UK,105,5109698
The Odd Life of Timothy Green,2012,Comedy,Peter Hedges,Peter Hedges ,Jennifer Garner,English,USA,105,51853450
Here Comes the Boom,2012,Action,Frank Coraci,Allan Loeb,Kevin James,English,USA,105,45274251
Parental Guidance,2012,Comedy,Andy Fickman,Lisa Addario,Billy Crystal,English,USA,105,77253083
Don't Stop Believin': Everyman's Journey,2012,Documentary,Ramona S. Diaz,Ramona S. Diaz,Arnel Pineda,English,USA,105,59645
Last Vegas,2013,Comedy,Jon Turteltaub,Dan Fogelman,Michael Douglas,English,USA,105,51434214
The Frozen Ground,2013,Crime,Scott Walker,Scott Walker,Nicolas Cage,English,USA,105,89515
Felony,2013,Thriller,Matthew Saville,Joel Edgerton ,Jai Courtney,English,Australia,105,185429
We Are What We Are,2013,Drama,Jim Mickle,Nick Damici,Kassie Wesley DePaiva,English,USA,105,54371
The Ultimate Life,2013,Drama,Michael Landon Jr.,Brian Bird ,Logan Bartholomew,English,USA,105,1326059
Man of Tai Chi,2013,Action,Keanu Reeves,Michael G. Cooney,Tiger Hu Chen,Cantonese,USA,105,61054
The Smurfs 2,2013,Animation,Raja Gosnell,J. David Stem ,Hank Azaria,English,USA,105,71017784
The Frozen Ground,2013,Crime,Scott Walker,Scott Walker,Nicolas Cage,English,USA,105,89515
Delivery Man,2013,Comedy,Ken Scott,Ken Scott ,Vince Vaughn,English,USA,105,30659817
Delivery Man,2013,Comedy,Ken Scott,Ken Scott ,Vince Vaughn,English,USA,105,30659817
Pompeii,2014,Action,Paul W.S. Anderson,Janet Scott Batchler ,Kit Harington,English,Canada,105,19919371
The Internet's Own Boy: The Story of Aaron Swartz,2014,Documentary,Brian Knappenberger,Brian Knappenberger,Tim Berners-Lee,English,USA,105,48911
Little Accidents,2014,Drama,Sara Colangelo,Sara Colangelo,Boyd Holbrook,English,USA,105,5479639
Jack Ryan: Shadow Recruit,2014,Action,Kenneth Branagh,Adam Cozad,Chris Pine,English,USA,105,43003831
Nowitzki: The Perfect Shot,2014,Documentary,Sebastian Dehnhardt,Sebastian Dehnhardt,Kobe Bryant,German,Germany,105,32550
America: Imagine the World Without Her,2014,Documentary,Dinesh D'Souza,Dinesh D'Souza,Dinesh D'Souza,English,USA,105,14438086
Rudderless,2014,Comedy,William H. Macy,Casey Twenter,Miles Heizer,English,USA,105,56001
Cinderella,2015,Drama,Kenneth Branagh,Chris Weitz ,Cate Blanchett,English,USA,105,183327144
April and the Extraordinary World,2015,Animation,Christian Desmares,Franck Ekinci ,Marion Cotillard,French,France,105,294311
Eisenstein in Guanajuato,2015,Biography,Peter Greenaway,Peter Greenaway,Elmer Back,English,Netherlands,105,20852
Aloha,2015,Comedy,Cameron Crowe,Cameron Crowe,Bradley Cooper,English,USA,105,15669178
Aloha,2015,Comedy,Cameron Crowe,Cameron Crowe,Bradley Cooper,English,USA,105,15669178
The People vs. Fritz Bauer,2015,Biography,Lars Kraume,Lars Kraume ,Rudiger Klink,German,Germany,105,277636
Pixels,2015,Animation,Chris Columbus,Tim Herlihy ,Adam Sandler,English,USA,105,66412009
The Family Fang,2015,Comedy,Jason Bateman,Kevin Wilson ,Nicole Kidman,English,USA,105,15335
Microbe & Gasoline,2015,Adventure,Michel Gondry,Michel Gondry,Ange Dargent,French,France,105,57491
Focus,2015,Comedy,Glenn Ficarra,Glenn Ficarra,Will Smith,English,USA,105,50265541
Aloha,2015,Comedy,Cameron Crowe,Cameron Crowe,Bradley Cooper,English,USA,105,15669178
Aloha,2015,Comedy,Cameron Crowe,Cameron Crowe,Bradley Cooper,English,USA,105,15669178
Peace Officer,2015,Documentary,Brad Barber,Brad Barber,William 'Dub' Lawrence,English,USA,105,57558
Chevalier,2015,Comedy,Athina Rachel Tsangari,Efthymis Filippou,Yiorgos Kendros,Greek,Greece,105,25676
Saving Mr. Wu,2015,Action,Sheng Ding,Sheng Ding,Andy Lau,Mandarin,China,105,79839
Inkheart,2008,Adventure,Iain Softley,David Lindsay-Abaire ,Brendan Fraser,English,Germany,106,17281832
Lemon Tree,2008,Drama,Eran Riklis,Suha Arraf ,Hiam Abbass,Arabic,Israel,106,467072
Quantum of Solace,2008,Action,Marc Forster,Paul Haggis,Daniel Craig,English,UK,106,168400000
The Other End of the Line,2008,Comedy,James Dodson,Tracey Jackson,Jesse Metcalfe,English,UK,106,59078
The Taking of Pelham 123,2009,Action,Tony Scott,Brian Helgeland ,Denzel Washington,English,USA,106,65452312
A Serious Man,2009,Comedy,Ethan Coen,Joel Coen,Michael Stuhlbarg,English,USA,106,9190525
In the Loop,2009,Comedy,Armando Iannucci,Jesse Armstrong ,Peter Capaldi,English,UK,106,2251324
White Material,2009,Drama,Claire Denis,Claire Denis ,Isabelle Huppert,French,France,106,302819
Clash of the Titans,2010,Action,Louis Leterrier,Travis Beacham ,Sam Worthington,English,USA,106,163100000
Extraordinary Measures,2010,Drama,Tom Vaughan,Robert Nelson Jacobs,Brendan Fraser,English,USA,106,11854694
Hesher,2010,Comedy,Spencer Susser,Spencer Susser,Joseph Gordon-Levitt,English,USA,106,300000
Certified Copy,2010,Drama,Abbas Kiarostami,Caroline Eliacheff ,Juliette Binoche,French,France,106,1337384
The Kids Are All Right,2010,Comedy,Lisa Cholodenko,Lisa Cholodenko,Julianne Moore,English,USA,106,20803237
Love Crime,2010,Crime,Alain Corneau,Alain Corneau ,Ludivine Sagnier,French,France,106,538356
The Runaways,2010,Biography,Floria Sigismondi,Floria Sigismondi ,Kristen Stewart,English,USA,106,3600000
Hesher,2010,Comedy,Spencer Susser,Spencer Susser,Joseph Gordon-Levitt,English,USA,106,300000
Senna,2010,Documentary,Asif Kapadia,Manish Pandey,Ayrton Senna,English,UK,106,1602460
Hesher,2010,Comedy,Spencer Susser,Spencer Susser,Joseph Gordon-Levitt,English,USA,106,300000
Legend of the Fist: The Return of Chen Zhen,2010,Action,Wai-Keung Lau,Gordon Chan ,Donnie Yen,Mandarin,Hong Kong,106,48398
What's Your Number?,2011,Comedy,Mark Mylod,Karyn Bosnak ,Anna Faris,English,USA,106,14008193
Contagion,2011,Drama,Steven Soderbergh,Scott Z. Burns,Gwyneth Paltrow,English,USA,106,75638743
Win Win,2011,Comedy,Tom McCarthy,Tom McCarthy ,Paul Giamatti,English,USA,106,10100000
Bellflower,2011,Action,Evan Glodell,Evan Glodell,Evan Glodell,English,USA,106,167242
A Little Bit of Heaven,2011,Comedy,Nicole Kassell,Gren Wells,Kate Hudson,English,USA,106,453167
The Adjustment Bureau,2011,Romance,George Nolfi,George Nolfi ,Matt Damon,English,USA,106,62453315
Cars 2,2011,Animation,John Lasseter,John Lasseter ,Larry the Cable Guy,English,USA,106,191450875
Abduction,2011,Action,John Singleton,Shawn Christensen,Jake Andolina,English,USA,106,27600000
Madea's Big Happy Family,2011,Comedy,Tyler Perry,Tyler Perry ,Tyler Perry,English,USA,106,53311948
Kill the Irishman,2011,Biography,Jonathan Hensleigh,Jonathan Hensleigh ,Ray Stevenson,English,USA,106,1187711
Mirror Mirror,2012,Adventure,Tarsem Singh,Marc Klein ,Julia Roberts,English,USA,106,64933670
Something from Nothing: The Art of Rap,2012,Documentary,Ice-T,unknown,Bun B,English,UK,106,288312
Promised Land,2012,Drama,Gus Van Sant,John Krasinski ,Matt Damon,English,USA,106,7600000
A Dark Truth,2012,Action,Damian Lee,Damian Lee,Lloyd Adams,English,Canada,106,5750
